gpa,study_hours,attendance_rate,previous_math_grade,previous_cs_grade,credit_load,course_difficulty,passed
3.58,23,71,5,50,16,4,1
2.39,2,31,85,85,16,4,0
3.69,11,32,24,46,11,3,1
0.35,12,15,81,67,15,5,0
0.78,1,75,16,91,9,3,0
0.18,2,37,60,75,9,5,0
1.3,4,97,11,37,15,5,0
1.55,10,13,5,35,18,3,0
1.09,7,35,89,40,17,1,0
3.31,25,96,26,68,15,4,1
1.43,22,22,7,12,18,5,0
1.12,22,65,82,86,13,5,0
2.17,11,84,64,57,16,1,0
0.56,6,1,56,49,10,2,0
3.21,14,90,92,29,17,1,1
0.3,23,72,98,61,14,1,0
3.95,16,64,39,100,17,5,1
3.09,3,74,13,24,10,4,0
0.79,21,66,34,26,11,1,0
0.02,24,51,47,50,16,2,0
3.26,12,61,83,77,9,3,1
2.83,17,22,55,56,18,1,0
2.92,0,25,48,46,15,1,1
3.09,15,67,12,99,15,2,1
0.3,12,81,60,38,9,4,0
1.43,9,54,48,15,17,1,0
0.46,11,5,45,21,16,1,0
3.45,1,34,61,84,12,4,0
2.49,22,21,7,53,18,2,0
1.32,2,42,42,20,13,1,0
0.25,9,14,19,71,10,4,0
1.24,1,85,96,15,17,1,0
1.3,22,59,89,58,14,3,0
2.92,12,100,38,30,11,5,1
2.55,12,11,84,41,15,3,1
3.55,17,48,48,73,17,1,1
1.89,2,41,63,31,11,2,0
0.48,6,37,61,58,10,5,0
2.85,13,81,53,33,15,3,0
3.04,19,44,8,8,15,4,0
2.25,16,34,87,80,12,2,1
3.08,20,29,36,10,17,3,0
1.98,11,87,48,95,16,4,0
2.09,24,29,40,9,9,1,0
1.71,15,77,16,85,9,4,1
0.1,23,5,87,16,13,3,0
0.43,11,66,20,67,14,3,0
0.13,14,79,50,47,11,1,0
2.55,24,6,58,51,17,4,0
1.26,9,51,38,24,18,4,0
2.03,24,13,54,20,14,1,0
3.63,6,72,40,100,12,4,1
1.0,19,14,38,64,15,1,0
1.64,4,20,12,62,16,2,0
3.02,0,34,63,88,17,3,0
0.92,16,65,10,50,14,2,0
0.31,2,90,18,35,14,5,0
1.16,12,1,10,80,16,5,0
0.64,13,34,76,87,13,5,0
3.72,23,81,45,65,11,1,1
3.23,17,77,44,14,11,4,1
2.53,3,19,0,95,14,2,0
3.49,17,81,39,38,10,2,1
3.21,4,9,18,69,14,2,0
0.75,24,24,75,0,14,2,0
3.57,15,65,71,22,16,5,0
2.16,0,24,71,38,15,2,0
3.23,20,53,60,56,16,4,1
3.58,13,32,11,80,17,5,0
1.27,14,35,60,33,14,2,0
0.44,8,94,32,40,11,1,0
0.91,14,13,44,92,18,3,0
1.71,16,64,89,72,11,3,0
3.27,24,79,91,12,9,3,1
3.44,23,53,68,69,13,5,1
0.03,3,51,7,5,12,2,0
2.04,11,2,24,83,17,5,0
1.67,25,98,90,51,17,4,0
0.89,4,40,45,2,13,1,0
0.48,4,5,86,80,18,1,0
1.35,10,24,29,62,12,3,0
3.77,5,12,46,48,15,3,0
1.29,6,97,86,75,14,3,0
2.08,23,7,48,46,12,2,0
2.81,13,20,46,54,18,4,0
1.45,23,97,83,63,10,4,1
3.89,10,67,81,64,9,4,0
3.85,12,24,17,80,12,4,0
1.01,1,78,65,66,12,3,0
1.99,24,67,67,89,9,1,1
1.2,6,44,93,14,14,3,0
1.14,19,59,32,99,12,4,0
0.15,3,11,35,31,9,3,0
2.44,7,31,81,95,9,4,0
2.01,19,95,100,67,9,5,0
0.21,21,91,18,17,16,1,0
1.11,20,12,27,82,18,5,0
3.63,18,30,39,42,16,2,1
0.96,12,77,83,34,10,3,0
0.58,13,19,96,77,15,2,0
1.96,9,17,75,57,16,3,0
3.94,10,92,14,32,16,5,0
0.97,1,59,40,13,18,4,0
2.69,24,62,38,33,15,4,0
3.05,25,5,1,60,13,3,0
0.95,8,31,62,3,9,4,0
2.91,16,92,28,87,17,5,0
1.47,25,42,73,58,15,4,0
2.53,2,1,65,28,10,5,0
2.53,23,59,50,82,14,2,1
2.14,5,22,74,5,10,5,0
0.36,4,82,76,96,9,1,0
3.34,4,30,9,48,15,1,0
1.28,21,4,13,39,10,1,0
0.75,14,82,81,82,10,3,0
0.16,22,33,50,64,13,3,0
2.36,16,9,72,68,13,3,1
2.71,8,88,38,26,15,5,0
0.07,2,1,27,79,9,3,0
2.05,19,10,2,5,16,2,0
0.91,25,49,83,12,11,1,0
2.58,16,30,69,63,12,5,0
0.7,9,55,26,61,17,1,0
2.76,2,78,1,98,12,3,0
1.55,17,72,92,18,18,5,0
3.75,17,86,37,75,13,4,1
0.55,16,82,2,79,15,2,0
1.36,23,8,15,42,12,3,0
0.45,2,98,93,73,9,3,0
3.7,2,20,39,88,17,2,1
3.51,5,72,1,19,12,2,0
1.03,12,27,80,94,17,4,0
2.64,23,61,40,67,14,3,1
3.27,14,6,11,43,9,3,0
2.22,24,79,34,22,11,1,1
2.12,8,15,64,1,10,5,0
0.97,3,96,54,21,17,5,0
0.37,13,3,44,56,9,1,0
3.59,4,3,78,100,17,5,0
3.6,1,39,89,71,17,2,1
2.53,10,16,100,6,16,5,0
1.36,8,100,84,77,16,5,0
1.4,23,51,61,55,9,1,0
2.9,2,92,48,66,16,4,1
3.59,8,51,94,15,18,5,0
3.55,2,35,24,82,11,5,0
3.12,24,37,22,50,15,4,0
2.57,1,49,23,81,9,1,0
0.34,11,62,37,79,9,4,0
0.65,9,100,27,71,18,1,0
3.59,8,62,20,96,13,2,1
2.43,14,61,53,11,13,1,0
0.04,7,98,17,52,16,2,0
0.41,24,6,35,74,15,2,0
2.65,4,26,98,4,16,1,0
0.02,10,91,44,26,14,3,0
0.64,1,85,72,11,14,1,0
2.19,23,13,52,16,10,5,0
2.77,14,70,29,5,14,5,0
2.61,5,100,59,96,13,3,1
0.9,7,85,97,4,11,2,0
2.85,4,4,31,56,14,3,0
0.95,15,54,66,27,16,5,0
1.3,25,1,66,77,17,3,0
2.99,17,61,27,68,9,1,1
2.6,5,90,43,58,11,3,0
3.4,4,20,78,32,11,2,0
2.63,15,78,40,61,16,1,0
2.27,12,20,62,49,9,4,0
0.37,4,9,22,18,13,5,0
1.47,12,86,74,85,11,5,0
1.06,16,57,47,68,10,3,0
0.98,17,38,31,65,16,1,0
3.89,7,4,56,93,11,4,1
1.57,12,64,99,46,15,1,0
3.57,18,12,32,38,9,5,1
2.52,25,84,23,67,14,1,1
3.18,2,89,38,32,11,4,0
2.01,23,84,33,12,16,3,0
2.31,7,52,55,83,14,2,0
1.97,1,81,27,53,10,1,0
0.78,7,100,36,6,14,2,0
2.89,12,44,6,78,15,5,0
1.12,12,31,67,86,13,3,0
0.1,0,35,36,13,11,3,0
2.58,5,80,55,86,12,1,0
0.71,23,98,64,18,12,3,0
3.76,18,59,64,53,14,1,1
3.82,15,10,46,92,18,1,0
3.66,7,62,19,19,9,2,0
1.48,0,20,18,28,12,3,0
0.06,15,51,28,23,18,1,0
3.71,8,54,73,81,12,2,1
1.71,12,25,59,62,18,4,0
3.87,10,67,17,73,9,2,1
3.85,12,33,91,56,17,2,1
3.41,24,51,34,7,12,1,1
1.18,20,81,42,89,15,5,0
1.54,9,98,94,61,11,5,0
3.4,3,92,90,28,18,5,0
1.27,5,51,10,73,11,2,0
0.68,6,28,48,16,16,1,0
2.23,4,37,37,65,16,3,0
3.74,10,41,63,5,9,2,1
2.78,12,20,68,57,18,2,0
2.28,25,41,7,68,10,1,1
0.39,24,12,33,27,16,4,0
2.46,18,63,47,61,9,2,1
3.96,22,16,55,40,16,4,1
0.56,9,8,75,68,16,4,0
2.07,9,40,64,81,10,5,0
3.51,10,0,30,89,12,1,1
2.96,20,1,3,83,14,4,0
2.79,6,59,49,40,17,1,0
2.81,17,47,68,48,16,5,0
1.44,3,28,29,90,16,1,0
1.17,1,96,87,48,15,2,0
3.24,13,9,58,75,17,4,0
3.24,12,57,66,70,10,1,1
3.47,11,59,74,2,11,3,0
3.65,6,20,44,9,18,1,1
2.05,1,27,3,97,16,4,0
2.01,12,74,25,88,14,5,0
3.19,13,33,26,34,18,5,0
2.6,16,7,45,79,17,4,0
2.81,8,58,63,1,18,2,0
3.18,16,85,90,23,12,2,1
3.56,7,71,50,73,16,5,1
1.35,1,48,49,37,18,5,0
1.5,23,78,5,21,11,4,0
0.38,12,16,58,25,11,2,0
2.31,2,59,14,42,16,5,0
0.14,15,86,29,54,13,2,0
1.86,5,87,41,38,11,5,0
2.17,18,44,100,90,18,1,1
1.15,6,82,36,28,9,3,0
2.36,9,68,41,19,11,1,1
0.12,8,31,100,90,17,5,0
0.15,1,43,34,40,13,3,0
3.29,14,64,86,53,18,3,1
1.44,4,86,5,19,10,5,0
0.51,21,100,67,18,15,5,0
2.09,3,7,17,83,10,2,0
3.08,19,76,72,98,12,5,0
0.86,3,71,28,65,15,4,0
2.49,17,86,76,29,12,5,0
0.34,3,42,58,52,15,4,0
0.21,16,0,46,33,15,5,0
2.13,11,50,16,21,9,2,0
2.16,21,23,95,66,14,4,0
2.55,16,98,21,5,17,1,0
2.9,9,23,67,78,10,4,0
3.9,21,16,68,26,11,2,1
2.07,0,4,36,9,18,4,0
1.29,21,19,48,72,13,5,0
3.18,25,20,12,96,17,5,1
1.08,23,57,33,95,12,2,1
1.76,17,30,85,47,9,3,0
0.31,17,99,52,69,12,5,0
0.1,13,10,86,58,14,1,0
3.85,14,51,50,99,13,2,1
3.34,11,14,2,58,9,4,0
2.78,3,82,41,1,12,4,0
1.64,2,6,97,28,14,1,0
0.69,19,27,31,67,18,5,0
0.63,11,50,50,64,18,2,0
1.0,6,57,84,82,12,1,0
2.2,10,4,45,25,17,5,0
2.86,0,4,20,88,13,2,0
2.64,5,93,43,9,16,4,0
1.12,14,95,10,52,17,2,0
3.82,14,7,67,78,18,3,1
2.95,18,63,0,58,13,2,0
2.22,10,9,91,21,14,3,0
2.45,25,37,62,50,9,2,1
1.68,22,95,23,47,15,3,0
0.99,25,91,98,20,12,4,0
1.42,1,80,12,21,10,5,0
3.03,13,94,97,99,13,3,1
0.06,1,7,10,97,11,3,0
0.46,3,24,99,29,14,4,0
0.18,16,72,50,24,16,3,0
0.16,2,65,16,27,15,1,0
3.42,12,78,98,64,11,4,1
2.81,8,49,81,44,16,1,1
1.9,6,66,85,67,10,4,0
0.39,14,48,23,6,18,3,0
1.97,22,35,18,48,17,1,1
1.89,10,67,36,8,12,3,0
0.69,19,77,84,35,9,4,0
1.74,1,40,7,82,16,3,0
1.59,14,88,27,0,15,1,0
2.46,13,61,4,9,13,1,0
2.54,19,9,16,35,18,3,0
0.18,21,20,100,72,13,2,0
1.5,10,35,35,45,15,4,0
2.5,2,11,18,31,13,4,0
2.01,16,90,63,31,16,3,0
3.43,11,1,90,5,14,2,1
2.63,23,12,97,47,13,1,1
0.65,20,52,10,37,17,5,0
0.28,14,31,53,16,10,5,0
2.57,15,94,44,73,9,3,1
0.11,4,15,46,26,16,2,0
2.34,19,31,11,53,11,2,0
3.76,5,31,20,49,15,4,0
2.3,18,97,10,34,18,1,0
1.55,24,10,91,84,16,2,0
2.57,4,9,4,24,14,5,0
1.83,2,14,80,27,18,1,0
2.18,0,16,55,14,17,1,0
3.77,25,39,19,3,15,3,1
1.54,5,17,40,92,18,2,0
3.84,14,54,45,72,13,3,1
3.62,1,72,11,26,16,2,0
0.78,2,24,69,25,10,4,0
0.28,16,58,16,18,15,3,0
0.4,24,77,18,91,12,3,0
0.07,23,88,25,16,17,5,0
0.38,11,21,47,42,9,3,0
2.73,17,29,51,40,15,2,0
0.28,14,83,95,41,14,5,0
1.28,11,84,69,49,16,3,0
3.38,15,43,54,83,13,3,0
0.09,7,31,99,39,9,4,0
3.26,13,50,74,38,9,3,1
1.13,24,45,32,22,17,1,0
0.47,16,20,61,95,18,5,0
2.79,20,98,87,51,14,1,1
2.52,7,31,22,46,18,5,0
3.51,14,93,14,62,13,4,1
2.94,13,38,26,96,9,3,0
3.21,17,11,74,68,14,3,1
1.13,19,46,63,42,14,3,0
0.71,6,17,80,47,11,5,0
3.0,2,20,50,33,16,3,0
3.23,11,12,52,39,9,1,1
3.96,20,20,77,74,9,3,1
1.65,23,7,90,60,14,4,0
1.49,25,45,81,49,18,1,0
3.11,2,6,91,66,9,3,0
1.36,19,22,50,61,14,3,0
3.72,13,95,46,57,9,2,1
3.43,14,74,3,32,14,5,0
1.72,24,85,6,74,11,1,1
3.0,13,21,34,15,16,2,1
3.02,6,88,47,81,14,4,1
0.41,16,21,72,93,9,5,0
3.61,11,91,71,47,13,1,1
2.02,19,28,44,9,16,3,0
3.31,3,12,80,81,11,1,0
1.28,8,81,80,37,14,3,0
3.58,5,1,96,18,13,5,0
1.56,15,28,95,35,14,3,0
0.04,24,84,71,58,18,4,0
3.62,21,78,18,62,9,3,1
0.37,21,51,62,76,15,4,0
1.28,20,26,37,45,17,5,0
3.8,20,49,66,2,10,5,0
3.8,1,94,58,73,18,1,1
2.29,23,78,68,64,13,4,1
2.53,7,22,12,90,18,4,0
1.79,10,87,46,7,12,2,0
1.17,12,43,60,50,14,2,0
1.31,16,76,30,80,14,2,1
2.69,7,21,79,72,10,3,1
3.01,20,42,95,5,10,2,1
3.17,17,36,21,88,12,4,1
3.16,17,60,92,38,9,3,1
0.36,13,96,85,59,17,5,0
1.98,14,55,42,27,15,1,0
0.23,5,2,66,96,15,2,0
2.2,10,62,53,53,11,5,0
1.77,12,18,9,36,11,4,0
3.55,24,22,41,8,9,1,1
1.4,0,28,63,81,11,5,0
0.47,5,29,20,55,11,1,0
0.57,8,38,79,58,12,2,0
3.05,7,24,75,84,12,4,0
2.47,10,100,65,1,11,1,1
0.4,21,7,40,60,18,5,0
0.34,18,57,23,57,16,2,0
2.8,23,15,34,59,16,2,1
0.29,8,71,55,39,9,5,0
3.29,16,0,29,35,15,5,0
2.82,11,4,56,36,10,1,0
0.33,24,2,93,78,9,3,0
0.34,13,64,46,91,11,2,0
3.95,14,3,34,17,12,1,1
1.5,15,98,18,97,14,5,0
1.48,21,95,7,62,18,1,1
3.25,21,63,25,21,13,5,0
3.79,19,97,70,10,12,4,1
3.94,0,88,29,57,16,5,0
3.01,9,9,6,56,12,5,0
1.51,7,20,66,76,18,5,0
0.33,17,45,64,3,10,3,0
3.11,0,90,35,85,11,5,0
2.23,1,26,24,6,14,2,0
1.7,0,65,36,60,16,2,0
3.63,0,40,0,53,16,1,0
0.44,8,12,14,87,17,3,0
1.97,12,8,36,67,15,1,0
0.05,0,35,12,91,10,2,0
1.87,12,85,7,78,16,2,0
0.23,19,89,4,0,15,4,0
0.48,25,57,59,54,16,5,0
0.47,21,53,72,2,11,2,0
2.6,6,11,0,77,15,1,0
2.98,1,80,35,37,18,1,0
2.33,5,77,34,0,17,5,0
3.85,6,13,65,37,11,5,0
1.5,25,33,62,84,18,4,0
1.14,13,52,22,28,14,3,0
3.47,25,19,8,4,10,1,1
0.89,17,74,33,73,10,5,0
3.85,14,15,45,91,13,1,1
0.05,1,94,77,20,13,5,0
3.88,9,69,3,70,15,2,1
0.17,22,55,29,66,10,1,0
3.56,11,82,94,46,15,2,1
2.11,16,100,74,83,13,1,1
3.97,7,57,98,82,14,3,1
0.3,10,3,71,34,16,4,0
2.22,2,3,2,67,18,2,0
3.88,5,19,13,68,12,5,0
2.09,8,9,59,0,15,3,0
2.52,5,23,76,67,14,1,0
2.78,8,98,44,11,18,2,0
1.82,6,25,95,59,10,1,0
2.51,8,36,33,26,16,1,0
2.34,17,84,44,55,18,1,1
3.6,11,53,60,22,17,4,1
0.18,7,20,82,24,13,4,0
1.12,7,73,15,20,18,5,0
3.8,17,37,65,60,12,2,1
3.56,19,45,39,62,14,3,1
1.82,14,3,16,51,16,3,0
2.48,6,59,33,87,11,3,0
1.11,10,56,15,24,18,1,0
0.75,19,44,59,54,9,4,0
1.85,15,19,65,45,12,2,0
1.41,3,16,65,31,12,1,0
2.33,5,70,89,54,9,4,1
0.31,25,3,12,95,17,4,0
3.9,21,92,55,4,11,2,1
3.94,25,13,30,35,13,2,1
2.79,2,2,33,48,14,2,0
2.14,8,87,38,57,16,1,0
1.24,9,100,66,38,14,5,0
3.26,13,79,7,79,11,2,1
2.74,10,57,86,96,14,5,0
0.65,17,54,77,84,9,1,0
3.64,21,3,54,60,12,5,0
3.29,11,23,26,8,14,3,1
3.8,22,33,92,5,15,5,0
2.9,11,29,52,34,18,2,0
2.45,12,81,38,38,11,1,1
1.67,24,18,64,21,17,2,0
3.73,12,30,16,40,15,3,1
3.46,18,59,29,4,9,2,0
0.18,25,59,52,41,10,2,0
0.11,18,18,12,86,9,2,0
1.51,22,48,20,80,17,4,0
3.24,13,62,18,75,17,3,0
3.95,3,82,52,86,15,2,1
0.6,12,21,18,79,18,2,0
2.38,7,23,56,66,11,2,0
1.52,22,75,24,29,13,1,0
3.88,20,29,85,56,12,4,1
3.37,22,57,30,85,15,1,1
3.35,18,30,80,72,17,4,0
1.87,11,99,54,28,10,2,1
1.66,17,63,22,36,16,3,0
1.09,5,18,31,86,17,5,0
0.23,17,47,61,12,18,5,0
3.46,18,44,73,31,18,2,1
3.25,21,99,9,45,17,1,1
4.0,4,93,99,22,18,3,1
3.99,23,54,71,44,15,4,1
2.22,8,54,53,16,17,2,0
3.08,2,96,51,84,17,3,0
3.78,9,17,19,65,11,3,0
3.4,18,62,31,100,12,4,1
0.99,2,91,13,5,10,3,0
1.8,21,46,49,17,18,1,0
0.52,14,74,27,93,11,1,0
3.82,0,56,52,21,13,1,1
2.42,6,44,23,32,13,3,0
0.91,11,32,78,29,14,1,0
2.69,16,16,21,80,15,4,1
2.47,20,69,29,31,15,3,1
1.43,25,3,62,41,9,5,0
0.45,23,19,3,77,10,3,0
2.69,19,46,76,9,17,4,1
2.08,4,90,58,35,18,5,0
3.09,3,14,86,33,10,3,1
2.08,11,69,7,72,14,1,0
3.41,19,46,81,27,9,2,1
2.21,23,77,11,10,11,2,0
2.24,17,74,30,77,10,1,1
3.51,16,8,77,38,11,2,1
1.61,18,89,33,46,13,2,0
0.54,8,15,81,18,18,1,0
0.12,3,68,97,14,14,1,0
3.02,25,60,74,27,17,3,1
2.48,20,9,75,23,18,3,0
2.82,1,49,48,71,12,1,0
0.85,3,2,78,8,15,4,0
0.55,1,76,56,46,14,2,0
0.06,14,93,94,32,10,3,0
1.4,1,69,92,61,18,2,0
2.36,3,80,25,96,16,5,0
1.57,5,50,17,18,15,1,0
1.75,6,18,95,66,15,4,0
3.62,9,41,85,73,16,5,0
1.39,18,34,37,39,9,5,0
2.06,18,45,80,46,9,5,0
3.13,25,25,86,64,16,1,1
1.59,21,68,87,28,12,3,0
2.49,11,92,49,49,13,1,0
3.45,2,63,7,97,16,3,1
3.8,12,36,40,12,13,5,0
0.59,17,83,5,0,18,5,0
3.71,7,48,68,33,12,4,0
1.97,20,20,43,92,14,3,0
1.03,14,73,63,47,13,5,0
1.84,0,63,28,76,15,2,0
3.92,2,4,27,47,18,4,0
1.97,25,99,10,48,15,1,1
1.32,7,69,64,63,12,4,0
2.53,3,89,18,60,13,2,0
0.96,15,3,8,28,11,3,0
0.3,22,38,26,38,12,1,0
0.52,9,34,33,87,12,1,0
0.51,11,0,43,25,11,3,0
0.61,13,23,67,16,18,4,0
0.56,13,56,99,70,13,5,0
2.56,1,99,81,12,13,4,1
0.73,22,69,14,68,15,2,0
1.38,4,40,50,25,12,5,0
3.59,4,53,12,48,12,4,0
1.9,5,45,82,66,17,3,0
2.67,12,59,48,6,14,2,0
0.69,8,59,69,57,12,2,0
0.77,21,56,55,48,10,2,0
0.16,14,30,75,52,14,5,0
0.68,13,83,50,64,10,1,0
1.11,23,23,36,61,13,5,0
0.71,6,88,16,16,14,4,0
0.35,24,35,57,42,12,1,0
0.48,19,84,86,24,11,4,0
1.84,1,29,89,2,15,1,0
0.83,6,23,28,78,10,5,0
1.46,5,29,32,28,14,2,0
2.01,16,85,59,31,12,3,0
2.76,24,91,90,25,14,2,1
0.16,24,6,88,15,12,5,0
3.2,1,34,54,24,12,1,0
2.51,2,54,9,53,12,2,0
0.33,4,91,46,27,17,5,0
3.49,4,13,22,72,15,4,0
3.68,0,9,84,55,11,3,0
0.24,7,79,20,64,11,2,0
1.11,11,15,12,92,14,1,0
3.22,23,53,100,85,14,4,1
2.99,3,94,32,79,12,5,0
0.74,12,88,23,40,17,3,0
0.84,22,76,10,50,12,1,0
1.48,14,69,16,70,17,5,0
1.94,10,43,67,77,12,5,0
2.47,9,72,46,28,10,2,1
1.48,2,44,24,82,10,2,0
1.85,21,99,93,18,13,1,1
2.99,13,55,72,65,12,5,0
0.15,15,83,20,40,15,2,0
1.01,9,81,83,44,13,3,0
2.85,9,56,82,14,14,3,0
3.58,11,20,82,2,18,5,0
2.05,8,67,11,10,12,2,0
2.13,0,49,36,52,10,1,0
0.43,4,32,41,45,18,1,0
1.79,19,90,16,29,17,1,0
2.13,7,6,100,56,18,3,0
0.97,10,69,47,17,15,2,0
1.08,11,14,27,50,12,2,0
1.51,0,81,40,47,11,3,0
0.08,24,31,98,65,18,1,0
1.29,21,74,46,95,11,1,1
0.85,19,19,17,7,17,5,0
1.31,24,87,77,21,13,4,1
0.48,10,14,98,5,11,2,0
3.56,4,47,70,75,13,2,1
2.37,14,70,12,56,10,2,0
2.72,4,20,81,35,12,4,0
3.16,11,41,100,78,18,5,1
1.99,4,25,12,91,10,4,0
0.35,16,13,99,56,10,1,0
2.15,16,56,30,48,16,1,0
2.35,23,36,1,44,9,2,1
2.98,11,57,15,81,15,3,0
1.73,23,20,8,65,13,2,0
0.51,14,81,72,76,16,3,0
1.14,14,68,37,44,9,4,0
1.45,5,2,74,78,15,1,0
2.58,11,86,53,19,13,3,0
2.28,19,89,55,63,12,4,1
1.42,17,36,85,92,15,1,0
3.95,13,87,96,92,18,3,1
2.42,1,48,99,66,10,2,1
0.95,8,18,86,82,9,2,0
0.41,4,88,44,2,9,2,0
0.61,19,84,33,53,9,4,0
0.98,25,11,8,77,13,2,0
0.64,0,60,87,63,18,5,0
0.75,22,40,7,39,15,1,0
1.14,2,32,6,58,10,4,0
0.69,5,49,35,54,18,2,0
3.59,4,67,17,61,16,1,0
0.32,20,70,2,3,12,3,0
2.1,4,85,27,59,11,2,0
1.64,0,32,69,74,18,1,0
3.93,16,80,43,94,16,5,1
0.45,18,23,20,95,10,3,0
1.59,13,60,27,90,11,5,0
3.88,11,60,53,29,11,1,1
3.46,9,97,53,1,18,5,0
3.27,19,27,64,61,9,1,1
1.03,20,57,99,48,14,1,1
0.68,17,42,20,8,10,5,0
2.67,23,40,98,91,9,1,1
3.72,10,38,12,30,10,2,0
2.23,1,85,56,97,14,1,1
2.29,24,48,48,60,12,4,1
1.12,17,16,53,78,14,1,0
3.08,24,97,9,47,17,4,1
0.75,6,69,52,24,18,1,0
1.29,23,69,43,35,18,1,1
1.7,14,97,46,7,16,5,0
2.03,10,64,52,72,9,2,0
0.97,17,73,73,57,16,2,0
0.46,22,84,45,100,17,3,0
2.44,11,4,12,44,14,5,0
1.15,5,1,36,61,18,5,0
2.32,19,21,23,38,13,2,0
0.62,22,56,1,95,14,5,0
1.92,12,65,85,57,14,2,0
2.13,19,73,80,80,17,5,0
0.21,15,97,99,98,12,1,0
1.35,17,15,13,100,10,2,0
0.54,9,50,9,82,17,2,0
0.25,22,38,34,63,10,4,0
3.96,7,85,24,43,18,5,1
1.29,17,75,2,28,17,5,0
3.24,20,87,16,58,10,2,1
1.02,0,39,11,70,16,1,0
2.73,22,37,53,91,17,1,1
3.04,7,59,23,8,18,1,0
2.38,5,58,28,91,17,5,0
1.89,4,9,42,5,18,4,0
1.65,14,98,24,28,17,2,0
1.4,21,63,99,57,10,3,1
3.72,14,62,59,16,12,4,1
3.32,1,48,89,15,15,3,0
3.86,0,63,64,86,10,4,0
0.5,22,31,83,94,9,1,0
2.92,22,6,27,2,11,5,0
3.75,25,20,15,20,12,3,0
0.72,10,19,46,63,16,4,0
0.27,9,25,80,89,14,5,0
2.96,17,67,91,35,10,3,1
2.3,17,85,57,100,17,2,0
3.37,16,14,75,85,10,4,0
0.56,25,84,26,61,13,2,0
3.18,7,78,52,41,12,1,1
0.81,14,85,41,75,15,2,0
0.65,7,91,58,41,16,2,0
0.66,16,13,46,60,13,4,0
3.26,11,26,93,12,18,1,0
2.66,7,39,33,10,13,2,0
2.09,24,57,36,53,10,5,0
1.44,13,27,5,15,16,3,0
3.51,3,25,6,7,10,2,0
1.57,0,62,95,58,18,1,0
3.27,0,65,95,56,14,2,0
1.76,18,24,24,39,16,3,0
1.51,15,2,32,58,14,1,0
1.85,13,71,54,1,12,4,0
1.21,20,43,57,93,12,1,0
2.99,15,96,6,93,14,4,1
2.01,4,41,56,75,12,1,0
0.93,8,98,11,9,16,3,0
3.6,25,5,15,43,17,3,1
1.54,1,38,79,10,9,1,0
2.17,17,51,42,78,12,2,0
3.63,5,22,99,79,12,3,0
2.5,8,88,76,80,10,4,0
0.47,0,49,6,89,14,4,0
3.76,8,42,99,1,11,5,0
2.51,24,18,50,49,15,4,0
1.34,15,68,72,11,13,5,0
0.56,12,50,31,89,12,1,0
3.18,8,10,74,22,13,1,0
2.48,20,11,7,17,16,1,0
2.13,12,73,96,61,11,2,0
3.58,8,7,86,95,15,2,1
3.15,10,23,88,61,14,5,0
0.61,3,91,71,37,9,4,0
1.25,1,40,44,66,15,4,0
0.99,5,35,85,37,15,1,0
2.98,13,100,58,66,9,3,1
0.13,3,84,3,93,17,2,0
2.28,5,71,66,60,14,2,0
3.05,18,54,28,0,10,1,1
3.51,5,8,28,93,13,2,0
1.37,1,46,97,44,12,1,0
3.29,17,14,97,95,15,5,1
0.44,12,47,27,27,16,4,0
3.39,8,81,76,20,9,3,1
